video_id,aktivitas,subjek,durasi_detik,kualitas
v001,walking,S01,3.0,good
v002,lying,S01,4.5,medium
v003,falling,S02,3.0,poor
v004,sitting,S02,6.7,good
v005,lying,S03,10.5,medium
v006,sitting,S01,8.0,good
v007,sitting,S04,9.1,poor
v008,sitting,S05,10.1,poor
v009,sitting,S01,3.0,poor
v010,walking,S02,4.5,poor
v011,lying,S03,5.3,medium
v012,falling,S01,6.7,good
v013,falling,S03,7.5,poor
v014,walking,S04,3.0,medium
v015,falling,S02,4.5,medium
v016,lying,S03,3.0,good
v017,walking,S02,4.5,medium
v018,falling,S03,3.1,medium
v019,lying,S02,9.1,good
v020,walking,S03,10.1,poor
